id,name,genre,external_url,image_url,polularity,followers
1kfWoWgCugPkyxQP8lkRlY,Jackson Wang,['k-pop'],https://open.spotify.com/artist/1kfWoWgCugPkyxQP8lkRlY,https://i.scdn.co/image/ab6761610000e5eb0405e7cc11aecb995703d398,68,3872689
28ot3wh4oNmoFOdVajibBl,NMIXX,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/28ot3wh4oNmoFOdVajibBl,https://i.scdn.co/image/ab6761610000e5eb04c88d140b3db4fa42ef84f2,69,1505656
01XYiBYaoMJcNhPokrg0l0,STAYC,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/01XYiBYaoMJcNhPokrg0l0,https://i.scdn.co/image/ab6761610000e5eb6f44c5165785a877bd4ae376,66,1324739
6iVo62B0bdTknRcrktCmak,KAI,['k-pop'],https://open.spotify.com/artist/6iVo62B0bdTknRcrktCmak,https://i.scdn.co/image/ab6761610000e5eb07a86e9ca86a984f925e39c4,68,1068570
4TnGh5PKbSjpYqpIdlW5nz,MONSTA X,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/4TnGh5PKbSjpYqpIdlW5nz,https://i.scdn.co/image/ab6761610000e5eb3806dc272074141b5f4ae00d,65,5008380
0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/0XATRDCYuuGhk0oE7C0o5G,https://i.scdn.co/image/ab6761610000e5ebe12972169702affd7a4c48ec,65,6776860
7cVZApDoQZpS447nHTsNqu,LeeHi,['k-pop'],https://open.spotify.com/artist/7cVZApDoQZpS447nHTsNqu,https://i.scdn.co/image/ab6761610000e5eb05cead99b1a81b82a9a42838,66,1505936
6aLdhHUqgdKE86xbtNmY8g,Crush,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/6aLdhHUqgdKE86xbtNmY8g,https://i.scdn.co/image/ab6761610000e5eb8e9d1c8642df6f869631fe62,64,1129586
0ebNdVaOfp6N0oZ1guIxM8,SUGA,['k-pop'],https://open.spotify.com/artist/0ebNdVaOfp6N0oZ1guIxM8,https://i.scdn.co/image/ab6761610000e5eb0fad315ccb6b38517152d2cc,65,2348423
3eCd0TZrBPm2n9cDG6yWfF,DEAN,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/3eCd0TZrBPm2n9cDG6yWfF,https://i.scdn.co/image/ab6761610000e5eb6f5769fc671ca8199168d3fb,61,1334457
5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/5V1qsQHdXNm4ZEZHWvFnqQ,https://i.scdn.co/image/ab6761610000e5ebf9fb2a341d6852c012a5d5ee,63,1202528
3qNVuliS40BLgXGxhdBdqu,TAEYEON,['k-pop'],https://open.spotify.com/artist/3qNVuliS40BLgXGxhdBdqu,https://i.scdn.co/image/ab6761610000e5ebb29975f8b42bcba1eae62577,66,2737724
4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,['k-pop'],https://open.spotify.com/artist/4ufh0WuMZh6y4Dmdnklvdl,https://i.scdn.co/image/ab6761610000e5eb1e2e0f17d257a40be0782f35,64,2588007
5vV3bFXnN6D6N3Nj4xRvaV,JIN,['k-pop'],https://open.spotify.com/artist/5vV3bFXnN6D6N3Nj4xRvaV,https://i.scdn.co/image/ab6761610000e5ebca4f165e62fbf5ab5a3750ba,69,5979602
3JjvsPeGMbDJqsphe2z8xU,P1Harmony,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/3JjvsPeGMbDJqsphe2z8xU,https://i.scdn.co/image/ab6761610000e5eb57b17565f297ad1097b0d2d2,59,706378
2hRQKC0gqlZGPrmUKbcchR,SHINee,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/2hRQKC0gqlZGPrmUKbcchR,https://i.scdn.co/image/ab6761610000e5eb7ece2134de8809efcfdc9be7,62,2975914
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,https://i.scdn.co/image/ab6761610000e5eb597a4257d0022e2ac837fa7d,65,5108436
3paGCCtX1Xr4Gx53mSeZuQ,NCT U,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/3paGCCtX1Xr4Gx53mSeZuQ,https://i.scdn.co/image/ab6761610000e5eb8bd65b0efee10bfa8328c33b,63,4012407
52zMTJCKluDlFwMQWmccY7,LOONA,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/52zMTJCKluDlFwMQWmccY7,https://i.scdn.co/image/ab6761610000e5eb80584436e5726afb70cee7f8,60,2337666
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c,https://i.scdn.co/image/ab6761610000e5eb385df356841aaec34a0914aa,64,2414504
5TnQc2N1iKlFjYD7CPGvFc,DAY6,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/5TnQc2N1iKlFjYD7CPGvFc,https://i.scdn.co/image/ab6761610000e5eb2fba28d51fc972ed9d8fbaaa,63,3091358
1khChLj7REGqjM043PlYyn,Xdinary Heroes,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/1khChLj7REGqjM043PlYyn,https://i.scdn.co/image/ab6761610000e5eb9a91656db6afb7a3dd398f22,61,684858
4XpUIb8uuNlIWVKmgKZXC0,ZICO,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,https://i.scdn.co/image/ab6761610000e5eb511f570580c79107b2fa70b9,61,1299112
7bmYpVgQub656uNTu6qGNQ,Hwa Sa,"['k-pop', 'korean talent show']",https://open.spotify.com/artist/7bmYpVgQub656uNTu6qGNQ,https://i.scdn.co/image/ab6761610000e5eb6de000137b41e45cc33a3566,62,4053070
3KonOYiLsU53m4yT7gNotP,TREASURE,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/3KonOYiLsU53m4yT7gNotP,https://i.scdn.co/image/ab6761610000e5eb5045a0e0d423ce29d6b14ebd,68,2740057
1VwDG9aBflQupaFNjUru9A,NAYEON,['k-pop'],https://open.spotify.com/artist/1VwDG9aBflQupaFNjUru9A,https://i.scdn.co/image/ab6761610000e5ebbb55fc616733b6c09d48481f,63,993817
6nfDaffa50mKtEOwR8g4df,GOT7,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/6nfDaffa50mKtEOwR8g4df,https://i.scdn.co/image/ab6761610000e5ebd90aa536055fe9806b3960e6,61,6581070
5LHu1iF8m0XtRBEJbbwSoo,WOOSUNG,"['k-pop', 'korean ost']",https://open.spotify.com/artist/5LHu1iF8m0XtRBEJbbwSoo,https://i.scdn.co/image/ab6761610000e5ebca6daabeb614243f96b2829f,62,559733
5na1LmEmK2VzNLje9snJYW,The Rose,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/5na1LmEmK2VzNLje9snJYW,https://i.scdn.co/image/ab6761610000e5eb767815f4876969e8f888f0db,62,2159252
3Cv2vi3WTl8VZOTdrBkKdM,Wonder Girls,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/3Cv2vi3WTl8VZOTdrBkKdM,https://i.scdn.co/image/ab6761610000e5eb30a517d1b703c3eabdac2855,59,727383
2PSJ6YriU7JsFucxACpU7Y,CHUNG HA,['k-pop'],https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,https://i.scdn.co/image/ab6761610000e5eb93c6f21062da1ef012275ff6,61,2091194
0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/0CmvFWTX9zmMNCUi6fHtAx,https://i.scdn.co/image/ab6761610000e5eb771aebd54ce149b97c0bb971,60,2504436
5dCvSnVduaFleCnyy98JMo,HEIZE,"['k-pop', 'korean pop', 'korean r&b']",https://open.spotify.com/artist/5dCvSnVduaFleCnyy98JMo,https://i.scdn.co/image/ab6761610000e5ebb55c3a580a05d6a61bd678ca,60,1112041
5qRSs6mvI17zrkJpOHkCoM,iKON,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/5qRSs6mvI17zrkJpOHkCoM,https://i.scdn.co/image/ab6761610000e5eb8eb5e57e526ceb14f06ea203,63,3478896
2FLqlgckDKdmpBrvLAT5BM,Eric Nam,['k-pop'],https://open.spotify.com/artist/2FLqlgckDKdmpBrvLAT5BM,https://i.scdn.co/image/ab6761610000e5ebf5b31977f8ca5a5d9c9d776e,59,2126039
1qBsABYUrxg9afpMtyoFKz,WayV,"['chinese idol pop', 'k-pop']",https://open.spotify.com/artist/1qBsABYUrxg9afpMtyoFKz,https://i.scdn.co/image/ab6761610000e5eb69d86a4744d275ed5259e743,59,1894138
