id,name,external_url,artist_id,artist_name,image_url,release_date,total_tracks
5vL6vinpOUVWOV2T8VjL4H,Breath of Love: Last Piece,https://open.spotify.com/album/5vL6vinpOUVWOV2T8VjL4H,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273cbf9d9f879ea5c07ed1d8263,2020-11-30,10
65q29w9jyM9QL2u55MJyij,Breath of Love : Last Piece,https://open.spotify.com/album/65q29w9jyM9QL2u55MJyij,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273d53f2d7a43cc84b48640c3b5,2020-11-30,10
4GcJuT0qH5hBPqRdWWMdpt,LOVE LOOP,https://open.spotify.com/album/4GcJuT0qH5hBPqRdWWMdpt,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273d1b4d36dd02808fad4723df6,2019-07-31,9
42GCdf2m9ogDdIsJCUgW8J,I WON'T LET YOU GO (Complete Edition),https://open.spotify.com/album/42GCdf2m9ogDdIsJCUgW8J,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b2736f20428fe98ee2bf3e405b74,2019-01-30,9
0LvabrCTm7KthUKX7Ny8d0,&ME Edition,https://open.spotify.com/album/0LvabrCTm7KthUKX7Ny8d0,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273d8ef4def05025c10a2c32a2f,2018-12-03,28
4epzMCQT2vHaiHW54ZXpug,Present : YOU' &ME Edition,https://open.spotify.com/album/4epzMCQT2vHaiHW54ZXpug,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b2730c4d58287e399ef0e76ca5b5,2018-12-03,12
5bZagDONazVp43sbHlf3RD,Present : YOU,https://open.spotify.com/album/5bZagDONazVp43sbHlf3RD,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b2734fa89604a84da7861228399b,2018-09-18,16
76grHTOkwQm6biHpsUfYas,Present : YOU,https://open.spotify.com/album/76grHTOkwQm6biHpsUfYas,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273a0a0340608c8eff936b9a725,2018-09-17,16
6eiarKsOXqX7r6CYb7kLVO,TURN UP(Complete Edition),https://open.spotify.com/album/6eiarKsOXqX7r6CYb7kLVO,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b2735edb9f7a0b191c71a85df1bb,2017-11-15,9
4jMq9hcatjFMJlPb4IpoI5,FLIGHT LOG : ARRIVAL,https://open.spotify.com/album/4jMq9hcatjFMJlPb4IpoI5,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273a62d98e3c3234a14165e85a9,2017-03-13,8
1l2iXioWXaYOpnioojfv8R,FLIGHT LOG : TURBULENCE,https://open.spotify.com/album/1l2iXioWXaYOpnioojfv8R,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273859dad4e2a15b5a2efb20a40,2016-09-27,13
4m7ocqdUZh1ohn3nxurMf0,FLIGHT LOG : TURBULENCE,https://open.spotify.com/album/4m7ocqdUZh1ohn3nxurMf0,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273c2fd5798faa7d82dadb1b330,2016-09-27,13
0I0J7uOt0XlSx9jPXj62Ym,FLIGHT LOG : DEPARTURE,https://open.spotify.com/album/0I0J7uOt0XlSx9jPXj62Ym,6nfDaffa50mKtEOwR8g4df,GOT7,https://i.scdn.co/image/ab67616d0000b273d44a483cd2520596be96fbbc,2016-03-21,7
