id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4NqiiK63rKwYTwHpPhmC61,어때,https://api.spotify.com/v1/tracks/4NqiiK63rKwYTwHpPhmC61,https://open.spotify.com/track/4NqiiK63rKwYTwHpPhmC61,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,1,0.181,https://api.spotify.com/v1/audio-analysis/4NqiiK63rKwYTwHpPhmC61,0.664,133287,0.557,0.00294,0.267,-7.737,1,0.0493,94.061,4,0.429
2p980qlVXYLh3HdHusbhfa,풀어,https://api.spotify.com/v1/tracks/2p980qlVXYLh3HdHusbhfa,https://open.spotify.com/track/2p980qlVXYLh3HdHusbhfa,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,2,0.0958,https://api.spotify.com/v1/audio-analysis/2p980qlVXYLh3HdHusbhfa,0.89,211972,0.501,0,0.103,-5.562,0,0.0589,126.949,4,0.758
6IFpwncCkKrXHyP0RuG9r6,Bonnie & Clyde,https://api.spotify.com/v1/tracks/6IFpwncCkKrXHyP0RuG9r6,https://open.spotify.com/track/6IFpwncCkKrXHyP0RuG9r6,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,3,0.426,https://api.spotify.com/v1/audio-analysis/6IFpwncCkKrXHyP0RuG9r6,0.642,224606,0.642,7.74e-06,0.672,-5.774,0,0.0725,94.958,4,0.475
6GS3lnAVy5w6AHWEKYzYeS,What 2 Do,https://api.spotify.com/v1/tracks/6GS3lnAVy5w6AHWEKYzYeS,https://open.spotify.com/track/6GS3lnAVy5w6AHWEKYzYeS,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,4,0.249,https://api.spotify.com/v1/audio-analysis/6GS3lnAVy5w6AHWEKYzYeS,0.632,224099,0.531,0,0.346,-5.669,1,0.0333,95.061,4,0.511
3uA8SjMyDtwtt0jLPMQbVD,D (Half Moon),https://api.spotify.com/v1/tracks/3uA8SjMyDtwtt0jLPMQbVD,https://open.spotify.com/track/3uA8SjMyDtwtt0jLPMQbVD,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,5,0.246,https://api.spotify.com/v1/audio-analysis/3uA8SjMyDtwtt0jLPMQbVD,0.512,229360,0.765,0,0.0573,-5.252,1,0.136,169.709,4,0.519
6CBA5xTE7Z4cyA9rzlhFdA,I Love It,https://api.spotify.com/v1/tracks/6CBA5xTE7Z4cyA9rzlhFdA,https://open.spotify.com/track/6CBA5xTE7Z4cyA9rzlhFdA,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,6,0.0206,https://api.spotify.com/v1/audio-analysis/6CBA5xTE7Z4cyA9rzlhFdA,0.59,216560,0.735,0,0.346,-3.789,1,0.0504,125.223,4,0.311
2jiI8bNSDu7UxTtDCOqh3L,21,https://api.spotify.com/v1/tracks/2jiI8bNSDu7UxTtDCOqh3L,https://open.spotify.com/track/2jiI8bNSDu7UxTtDCOqh3L,3eCd0TZrBPm2n9cDG6yWfF,DEAN,1MW3txTS49ZGvyLi0fziLU,7,0.18,https://api.spotify.com/v1/audio-analysis/2jiI8bNSDu7UxTtDCOqh3L,0.686,207130,0.73,0,0.341,-5.673,0,0.153,109.93,4,0.576
20a5L61dRfYVk6XEJ4BVx2,숨,https://api.spotify.com/v1/tracks/20a5L61dRfYVk6XEJ4BVx2,https://open.spotify.com/track/20a5L61dRfYVk6XEJ4BVx2,3eCd0TZrBPm2n9cDG6yWfF,DEAN,6XulcD8fSQt8STgf2pPgnh,1,0.622,https://api.spotify.com/v1/audio-analysis/20a5L61dRfYVk6XEJ4BVx2,0.315,188764,0.323,0.000235,0.543,-10.649,1,0.0566,172.782,4,0.114
0pDh5dMblZFw7bXRsbekZ1,Breath,https://api.spotify.com/v1/tracks/0pDh5dMblZFw7bXRsbekZ1,https://open.spotify.com/track/0pDh5dMblZFw7bXRsbekZ1,6nfDaffa50mKtEOwR8g4df,GOT7,5vL6vinpOUVWOV2T8VjL4H,1,0.109,https://api.spotify.com/v1/audio-analysis/0pDh5dMblZFw7bXRsbekZ1,0.724,187251,0.846,0,0.0958,-3.785,0,0.0538,129.959,4,0.64
6xrjIHbm6ga5J8HhOS2Rmn,LAST PIECE,https://api.spotify.com/v1/tracks/6xrjIHbm6ga5J8HhOS2Rmn,https://open.spotify.com/track/6xrjIHbm6ga5J8HhOS2Rmn,6nfDaffa50mKtEOwR8g4df,GOT7,5vL6vinpOUVWOV2T8VjL4H,2,0.0324,https://api.spotify.com/v1/audio-analysis/6xrjIHbm6ga5J8HhOS2Rmn,0.715,222120,0.866,0,0.109,-5.505,0,0.148,98.034,4,0.688
