id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
34tz0eDhGuFErIuW3q4mPX,34tz0eDhGuFErIuW3q4mPX,https://api.spotify.com/v1/tracks/34tz0eDhGuFErIuW3q4mPX,https://open.spotify.com/track/34tz0eDhGuFErIuW3q4mPX,3TVXtAsR1Inumwj472S9r4,Drake,5MS3MvWHJ3lOZPLiMxzOU6,3,0.0201,https://api.spotify.com/v1/audio-analysis/34tz0eDhGuFErIuW3q4mPX,0.841,261544,0.358,0,0.39,-8.368,1,0.591,158.014,4,0.329
6pD0ufEQq0xdHSsRbg9LBK,6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,7aGzSSUD8S6IhPCsZSiuMT,1,0.228,https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK,0.569,194563,0.724,0,0.27,-4.076,0,0.0474,83.118,4,0.562
7gRFDGEzF9UkBV233yv2dc,7gRFDGEzF9UkBV233yv2dc,https://api.spotify.com/v1/tracks/7gRFDGEzF9UkBV233yv2dc,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0kbZ4ZNRs76sSFeGUEErFM,2,0.00327,https://api.spotify.com/v1/audio-analysis/7gRFDGEzF9UkBV233yv2dc,0.818,175889,0.69,0,0.186,-5.119,1,0.0454,110.071,3,0.688
3dnP0JxCgygwQH9Gm7q7nb,3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,3Mm1P5CEEAiuJqBclr2EyU,1,0.483,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,0.668,165671,0.758,1.89e-05,0.0837,-5.176,0,0.0332,147.989,3,0.834
2EjXfH91m7f8HiJN1yQg97,2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,34wa3zf2prXFMk47t9zHFG,1,0.614,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,0.589,126267,0.472,0,0.505,-8.749,1,0.0502,67.196,4,0.898
0DWdj2oZMBFSzRsi2Cvfzf,0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,790FomKkXshlbRYZFtlgla,KAROL G,4kS7bSuU0Jm9LYMosFU2x5,6,0.673,https://api.spotify.com/v1/audio-analysis/0DWdj2oZMBFSzRsi2Cvfzf,0.72,199440,0.63,0,0.0936,-3.547,0,0.277,179.974,4,0.607
3k3NWokhRRkEPhCzPmV8TW,3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,14,0.08,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,0.647,258299,0.686,1.34e-06,0.528,-5.745,0,0.0413,79.928,4,0.268
4tYFy8ALRjIZvnvSLw5lxN,4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/tracks/4tYFy8ALRjIZvnvSLw5lxN,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,11,0.0151,https://api.spotify.com/v1/audio-analysis/4tYFy8ALRjIZvnvSLw5lxN,0.829,227629,0.799,0.000543,0.242,-5.389,1,0.0897,97.013,4,0.471
5jQI2r1RdgtuT8S3iG8zFC,5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,1,0.258,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,0.733,202396,0.436,0.000573,0.157,-10.489,1,0.08,96.985,4,0.0976
1PckUlxKqWQs3RlWXVBLw3,1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,56oDRnqbIiwx4mymNEv7dS,Lizzo,4JApkbiesQxv5drdEZRlZC,1,0.0995,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,0.836,191822,0.743,0,0.335,-6.305,0,0.0656,108.966,4,0.722
