id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
79MRkKu1BN0Dpvt9fTMX38,Like a Fool,https://api.spotify.com/v1/tracks/79MRkKu1BN0Dpvt9fTMX38,https://open.spotify.com/track/79MRkKu1BN0Dpvt9fTMX38,5zAvIIMHD6Iar6M9ot3fWu,Seo J,2c5zAcsChp717NEyOq9wfP,2,0.622,https://api.spotify.com/v1/audio-analysis/79MRkKu1BN0Dpvt9fTMX38,0.556,230853,0.477,1.33e-06,0.125,-7.51,1,0.0324,129.849,4,0.21
7wksiATwBMeTGe8xAiyclT,Shining Star (Inst.),https://api.spotify.com/v1/tracks/7wksiATwBMeTGe8xAiyclT,https://open.spotify.com/track/7wksiATwBMeTGe8xAiyclT,4jCGRzuZkwo8CxboiANMEU,AleXa,2c5zAcsChp717NEyOq9wfP,3,0.000933,https://api.spotify.com/v1/audio-analysis/7wksiATwBMeTGe8xAiyclT,0.796,192987,0.804,0.834,0.0448,-4.135,1,0.0648,117.978,4,0.336
5NuUIADnAnPnZzI0V4QNNi,Like a Fool (Inst.),https://api.spotify.com/v1/tracks/5NuUIADnAnPnZzI0V4QNNi,https://open.spotify.com/track/5NuUIADnAnPnZzI0V4QNNi,5zAvIIMHD6Iar6M9ot3fWu,Seo J,2c5zAcsChp717NEyOq9wfP,4,0.422,https://api.spotify.com/v1/audio-analysis/5NuUIADnAnPnZzI0V4QNNi,0.66,230853,0.355,0.674,0.129,-10.255,1,0.0281,129.993,4,0.0951
4rWNO0SOehe1xc8Oi4D4UK,Midnight Sun (Eng ver.),https://api.spotify.com/v1/tracks/4rWNO0SOehe1xc8Oi4D4UK,https://open.spotify.com/track/4rWNO0SOehe1xc8Oi4D4UK,4jCGRzuZkwo8CxboiANMEU,AleXa,5HcfnOirPB0avE3RLkjMpO,1,0.621,https://api.spotify.com/v1/audio-analysis/4rWNO0SOehe1xc8Oi4D4UK,0.489,260173,0.543,0,0.107,-3.928,0,0.0345,129.905,4,0.159
0Meshei365wYICtyLje3nf,Midnight Sun (Eng ver.) (inst.),https://api.spotify.com/v1/tracks/0Meshei365wYICtyLje3nf,https://open.spotify.com/track/0Meshei365wYICtyLje3nf,4jCGRzuZkwo8CxboiANMEU,AleXa,5HcfnOirPB0avE3RLkjMpO,2,0.0135,https://api.spotify.com/v1/audio-analysis/0Meshei365wYICtyLje3nf,0.493,260173,0.589,0.94,0.107,-7.531,0,0.0269,129.984,4,0.0717
5hjLF8tzOuw6XENqReVM5D,Star (feat. Moonbyul of MAMAMOO),https://api.spotify.com/v1/tracks/5hjLF8tzOuw6XENqReVM5D,https://open.spotify.com/track/5hjLF8tzOuw6XENqReVM5D,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,1,0.638,https://api.spotify.com/v1/audio-analysis/5hjLF8tzOuw6XENqReVM5D,0.619,237213,0.711,0,0.0859,-3.701,1,0.0354,86.967,4,0.431
5NDXgrJbDBb5rT39LcOJ3B,Back In Vogue,https://api.spotify.com/v1/tracks/5NDXgrJbDBb5rT39LcOJ3B,https://open.spotify.com/track/5NDXgrJbDBb5rT39LcOJ3B,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,2,0.2,https://api.spotify.com/v1/audio-analysis/5NDXgrJbDBb5rT39LcOJ3B,0.46,173667,0.799,0,0.298,-2.577,0,0.145,179.742,4,0.649
6QOw30BJy6VwXxO7q6Momt,Endorphine,https://api.spotify.com/v1/tracks/6QOw30BJy6VwXxO7q6Momt,https://open.spotify.com/track/6QOw30BJy6VwXxO7q6Momt,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,3,0.668,https://api.spotify.com/v1/audio-analysis/6QOw30BJy6VwXxO7q6Momt,0.831,228307,0.935,0,0.0479,-1.921,1,0.0658,114.983,4,0.883
0PUs9Sa3UjObKUThj2YqZT,Black Out,https://api.spotify.com/v1/tracks/0PUs9Sa3UjObKUThj2YqZT,https://open.spotify.com/track/0PUs9Sa3UjObKUThj2YqZT,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,4,0.0397,https://api.spotify.com/v1/audio-analysis/0PUs9Sa3UjObKUThj2YqZT,0.743,208133,0.776,0,0.201,-3.26,1,0.0803,140.042,4,0.661
4h3QsAMUTbXGVSnt21xPRZ,Please Try Again,https://api.spotify.com/v1/tracks/4h3QsAMUTbXGVSnt21xPRZ,https://open.spotify.com/track/4h3QsAMUTbXGVSnt21xPRZ,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,5,0.909,https://api.spotify.com/v1/audio-analysis/4h3QsAMUTbXGVSnt21xPRZ,0.575,210353,0.495,0,0.337,-5.066,0,0.0337,84.753,4,0.361
