id,name,genre,external_url,image_url,polularity,followers
3Nrfpe0tUJi4K4DXYWgMUX,BTS,"['k-pop', 'k-pop boy group', 'pop']",https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,https://i.scdn.co/image/ab6761610000e5eb5704a64f34fe29ff73ab56bb,90,65364338
2dIgFjalVxs4ThymZ67YCE,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,https://i.scdn.co/image/ab6761610000e5ebada60ffd7a8ce554fd733fb5,82,11351174
1oSPZhvZMIrWW5I41kPkkY,Jimin,['k-pop'],https://open.spotify.com/artist/1oSPZhvZMIrWW5I41kPkkY,https://i.scdn.co/image/ab6761610000e5eb59f8cfc8e71dcaf8c6ec4bde,85,5434119
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c,85,41367120
7n2Ycct7Beij7Dj7meI4X0,TWICE,"['k-pop', 'k-pop girl group', 'pop']",https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,https://i.scdn.co/image/ab6761610000e5eb8944c8aec8db82f35980b191,81,17703059
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,['k-pop girl group'],https://open.spotify.com/artist/4GJ6xDCF5jaUqD6avOuQT6,https://i.scdn.co/image/ab6761610000e5eb1193a00caa638c135ffc60ec,81,769575
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,https://i.scdn.co/image/ab6761610000e5eb95f5142b421466cf22028f6f,81,9290739
6HvZYsbFfjnjFrWF950C9d,NewJeans,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,https://i.scdn.co/image/ab6761610000e5eb6199c3c2f414880e2b9077a9,80,3465603
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,https://i.scdn.co/image/ab6761610000e5eb63329d77582c519154674fd7,78,8044369
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,['k-pop girl group'],https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,https://i.scdn.co/image/ab6761610000e5eb510c56f38c9fc97ee80f7256,79,2225421
6RHTUrRF63xao58xh9FXYJ,IVE,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ,https://i.scdn.co/image/ab6761610000e5ebf44daaf3a37f5be9a0721be7,78,2207265
